sl_store,sl_address,sl_city,sl_zip,sl_latitude,sl_longitude,sl_tags,sl_phone,Polizeipräsidium
Polizeirevier Freiburg -Nord-,Bertoldstraße 43a,Freiburg im Breisgau,79098,47.996218,7.8454321,Polizeirevier,0761 882-4221,Freiburg
Polizeirevier Freiburg -Süd-,Heinrich-von-Stephan-Straße 4,Freiburg im Breisgau,79100,47.98763,7.8364,Polizeirevier,0761 882-0,Freiburg
Polizeirevier Lörrach,Weinbrennerstraße 8,Lörrach,79539,47.61014,7.65873,Polizeirevier,07621 176-0,Freiburg
Polizeirevier Müllheim,Schwarzwaldstraße 14-16,Müllheim,79379,47.81185,7.62641,Polizeirevier,07631 1788-0,Freiburg
Polizeirevier Rheinfelden (Baden),Basler Straße 16,Rheinfelden (Baden),79618,47.55532,7.7831054,Polizeirevier,07623 7404-0,Freiburg
Polizeirevier Schopfheim,Hebelstraße 18,Schopfheim,79650,47.6478483,7.8244383,Polizeirevier,07622 66698-0,Freiburg
Polizeirevier Titisee-Neustadt,Bei der Kirche 2,Titisee-Neustadt,79822,47.91138,8.21507,Polizeirevier,07651 9336-0,Freiburg
Polizeirevier Waldkirch,Marktplatz 19,Waldkirch,79183,48.0930829,7.9619985,Polizeirevier,07681 4074-0,Freiburg
Polizeirevier Waldshut-Tiengen,Poststraße 4,Waldshut-Tiengen,79761,47.62217,8.21728,Polizeirevier,07751 8316-0,Freiburg
Polizeirevier Weil am Rhein,Basler Straße 7,Weil am Rhein,79576,47.59161,7.61,Polizeirevier,07621 9797-0,Freiburg
Kriminalpolizeidirektion Freiburg,Heinrich-von-Stephan-Straße 4,Freiburg im Breisgau,79100,47.98763,7.8364,Direktion,0761 882-0,Freiburg
Kriminaldauerdienst Freiburg,Heinrich-von-Stephan-Straße 4,Freiburg im Breisgau,79100,47.98763,7.8364,,0761 882-0,Freiburg
Kriminalkommissariat Emmendingen,Wiesenstraße 4,Emmendingen,79312,48.10852,7.85372,,07641 582-200,Freiburg
Kriminalkommissariat Lörrach,Weinbrennerstraße 6,Lörrach,79539,47.61055,7.65887,,07621 176-0,Freiburg
Kriminalkommissariat Waldshut-Tiengen,Ostpreußenstraße 22,Waldshut-Tiengen,79761,47.63306,8.27873,,07741 8316-0,Freiburg
Verkehrspolizeiinspektion Freiburg,Bissierstraße 1,Freiburg im Breisgau,79114,48.00235,7.82138,Direktion,0761 882-3100,Freiburg
Verkehrsdienst-Außenstelle Waldshut-Tiengen,Alfred-Nobel-Straße 18,Waldshut-Tiengen,79761,47.614838,8.24108,,07751 8963-0,Freiburg
Verkehrsdienst Weil am Rhein,Alte Straße 15,Weil am Rhein,79576,47.592136,7.603116,,07621 9800-0,Freiburg
Polizeipräsidium Heilbronn,Karlstraße 108-112,Heilbronn,74076,49.14155,9.23619,Polizeipräsidium,07131-104-0,Heilbronn
Schutzpolizeidirektion Heilbronn,Karlstraße 108-112,Heilbronn,74076,49.14155,9.23619,Direktion,07131-104-0,Heilbronn
Polizeirevier Bad Mergentheim,Schloß 6,Bad Mergentheim,97980,49.49275,9.77691,Polizeirevier,07931 5499-0,Heilbronn
Polizeirevier Buchen,Bödigheimer Straße 19,Buchen (Odenwald),74722,49.51619,9.323873,Polizeirevier,06281 904-0,Heilbronn
Polizeirevier Eppingen,Brettener Straße 57,Eppingen,75031,49.135654,8.90641,Polizeirevier,07262 6095-0,Heilbronn
Polizeirevier Heilbronn,John-F.-Kennedy-Straße 14,Heilbronn,74074,49.123493,9.22135,Polizeirevier,07131 7479-0,Heilbronn
Polizeirevier Heilbronn-Böckingen,Neckargartacher Straße 108,Heilbronn,74080,49.149374,9.196707,Polizeirevier,07131 20406-0,Heilbronn
